Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% moral low higher/better,% R0 higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,992,7,1.616404704965655,0.560464682810561,2.470981895942338,1.62,"[0.56, 2.47]",True,Higher for moral low,-0.05281896508500342,992,-0.05 (n=992),55.9%,44.0%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Essay writing,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,992,7,-1.5843264377885546,-2.193136904095527,-0.904811253225856,-1.58,"[-2.19, -0.90]",True,Higher for R0,-0.05766381459022708,992,-0.06 (n=992),43.9%,56.1%,0.0%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Essay writing,Generic text feature,Paragraphs,paragraphs,Full paired dataset,992,7,0.2727244978259704,0.0207106791208824,0.5306262251640403,0.3,"[0.0, 0.5]",True,Higher for moral low,0.19189885011752802,992,+0.19 (n=992),39.2%,16.9%,43.9%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Essay writing,LLM rubric marker,Concrete example quality,concrete_example_quality,Random actor-balanced A/B-coded sample,120,7,-0.2815126050420168,-0.3865546218487394,-0.1848739495798319,-0.28,"[-0.39, -0.18]",True,Higher for R0,0.4274798978738171,120,+0.43 (n=120),33.3%,61.7%,5.0%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which essay uses the required concrete example more specifically, plausibly, and usefully?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Counterargument/qualification,counterargument_qualification,Random actor-balanced A/B-coded sample,120,7,-0.2553688141923436,-0.4215686274509804,-0.1008403361344537,-0.26,"[-0.42, -0.10]",True,Higher for R0,0.0917297054323671,120,+0.09 (n=120),18.3%,44.2%,37.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which essay better anticipates objections or tradeoffs and responds to them?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Rhetorical coherence and closure,rhetorical_coherence_closure,Random actor-balanced A/B-coded sample,120,7,-0.2240896358543417,-0.3445378151260504,-0.1008403361344537,-0.22,"[-0.34, -0.10]",True,Higher for R0,0.397808588004813,120,+0.40 (n=120),29.2%,51.7%,19.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.","Which essay has better paragraph flow, transitions, and final synthesis?",outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Thesis and stakes framing,thesis_stakes_framing,Random actor-balanced A/B-coded sample,120,7,-0.1909430438842203,-0.3001867413632119,-0.0756302521008403,-0.19,"[-0.30, -0.08]",True,Higher for R0,0.3656222277843616,120,+0.37 (n=120),35.8%,55.0%,9.2%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which essay presents the central claim and its stakes more clearly and compellingly?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
Grant abstract,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,914,7,-1.5265996006747409,-3.264481185783509,-0.1555141816447283,-1.53,"[-3.26, -0.16]",True,Higher for R0,-0.08909763833356087,914,-0.09 (n=914),43.5%,56.3%,0.1%,Raw feature units; positive means moral low output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Grant abstract,Generic text feature,Paragraphs,paragraphs,Full paired dataset,914,7,0.5664600602317162,0.1301549658370128,1.13251511638042,0.6,"[0.1, 1.1]",True,Higher for moral low,0.1588192087870864,914,+0.16 (n=914),39.9%,19.6%,40.5%,Raw feature units; positive means moral low output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_low_vs_r0_feature_deltas_by_task.csv
Grant abstract,LLM rubric marker,Risk mitigation,risk_mitigation,Random actor-balanced A/B-coded sample,120,7,-0.2605042016806723,-0.453781512605042,-0.0336134453781512,-0.26,"[-0.45, -0.03]",True,Higher for R0,0.5605958950706803,120,+0.56 (n=120),36.7%,62.5%,0.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral low output.",Which abstract identifies more realistic risks and more credible mitigation plans?,outputs/analysis/task_rubric_feature_coding/moral_low_vs_r0/rubric_feature_analysis_by_task_dimension.csv
