Task,Feature family,Feature,Feature id,Sample,N pairs,N clusters,Estimate,95% CI low,95% CI high,Estimate display,95% CI,Clear difference,Direction,Panel association r,Panel association n,Panel preference (r),% moral high higher/better,% moral low higher/better,% equal/tie/NA,Scale,Definition,Source file
Essay writing,Generic text feature,Positive-word rate per 1k words,positive_words_per_1k,Full paired dataset,1979,7,-1.2881801165467643,-2.334940191681099,-0.2334693565697103,-1.29,"[-2.33, -0.23]",True,Higher for moral low,-0.1211318109915017,1979,"-0.12 (n=1,979)",46.7%,53.2%,0.1%,Raw feature units; positive means moral high output has more/higher feature value.,"VADER positive-lexicon tokens per 1,000 words.",outputs/analysis/moral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Negative-word rate per 1k words,negative_words_per_1k,Full paired dataset,1979,7,0.9271410710243996,0.2919100845389767,1.5499607111553726,0.93,"[0.29, 1.55]",True,Higher for moral high,0.04672405110734553,1979,"+0.05 (n=1,979)",53.3%,46.6%,0.1%,Raw feature units; positive means moral high output has more/higher feature value.,"VADER negative-lexicon tokens per 1,000 words.",outputs/analysis/moral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Flesch-Kincaid grade,textstat_flesch_kincaid_grade,Full paired dataset,1979,7,-0.247778452055417,-0.3885251678747422,-0.1374743140903338,-0.25,"[-0.39, -0.14]",True,Higher for moral low,0.11760682392404102,1979,"+0.12 (n=1,979)",43.3%,56.6%,0.1%,Raw feature units; positive means moral high output has more/higher feature value.,Flesch-Kincaid grade level.,outputs/analysis/moral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Paragraphs,paragraphs,Full paired dataset,1979,7,-0.1901044588193856,-0.4512289731111102,-0.0250780811786475,-0.2,"[-0.5, 0.0]",True,Higher for moral low,0.1363107120273714,1979,"+0.14 (n=1,979)",18.5%,28.2%,53.3%,Raw feature units; positive means moral high output has more/higher feature value.,Paragraph count split on blank lines.,outputs/analysis/moral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Words,words,Full paired dataset,1979,7,4.645126719644473,-0.8508488258057313,10.463017036531433,4.6,"[-1, 10]",False,No clear difference,0.3833911592992967,1979,"+0.38 (n=1,979)",54.5%,43.8%,1.8%,Raw feature units; positive means moral high output has more/higher feature value.,Word count.,outputs/analysis/moral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Quantitative detail,quantitative_detail,Full paired dataset,1979,7,-0.0323150441312343,-0.0986797886608414,0.0159909873027667,-0.032,"[-0.099, 0.016]",False,No clear difference,,0,,26.0%,26.6%,47.4%,Within-task z-score units; positive means moral high output has more quantitative detail.,Within-task z-score of numeric tokens plus percentage expressions. Computed separately for each output before paired differencing.,outputs/analysis/moral_feature_deltas_by_task.csv
Essay writing,Generic text feature,Unique-word ratio,unique_word_ratio,Full paired dataset,1979,7,-0.0016654732030781,-0.0060133415647499,0.0020875235898051,-0.0017,"[-0.0060, 0.0021]",False,No clear difference,0.03599148927704116,1979,"+0.04 (n=1,979)",49.5%,50.4%,0.2%,Raw feature units; positive means moral high output has more/higher feature value.,Unique lowercased word tokens divided by total word tokens.,outputs/analysis/moral_feature_deltas_by_task.csv
Essay writing,LLM rubric marker,Counterargument/qualification,counterargument_qualification,Random actor-balanced A/B-coded sample,120,7,0.1087768440709617,0.0658263305322128,0.1512605042016806,0.11,"[0.07, 0.15]",True,Higher for moral high,-0.008581607767219413,120,-0.01 (n=120),29.2%,18.3%,52.5%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.",Which essay better anticipates objections or tradeoffs and responds to them?,outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Argument depth,argument_depth,Random actor-balanced A/B-coded sample,120,7,0.0793650793650793,-0.1139122315592904,0.2969187675070028,0.08,"[-0.11, 0.30]",False,No clear difference,0.28191605396643415,120,+0.28 (n=120),53.3%,45.0%,1.7%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which essay gives better causal, economic, ethical, or institutional reasoning rather than generic assertion?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
Essay writing,LLM rubric marker,Concrete example quality,concrete_example_quality,Random actor-balanced A/B-coded sample,120,7,0.03828197945845,-0.1512605042016806,0.2446311858076564,0.04,"[-0.15, 0.24]",False,No clear difference,0.17842363303812112,120,+0.18 (n=120),49.2%,45.0%,5.8%,"Comparative rubric score in [-1, 1]; positive means rubric coder favored moral high output.","Which essay uses the required concrete example more specifically, plausibly, and usefully?",outputs/analysis/task_rubric_feature_coding/moral__source-pair-deltas__n-per-task-120__seed-20260615__coder-google-gemini-2.5-flash/rubric_feature_analysis_by_task_dimension.csv
